Country Name,Country Code,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EG.FEC.RNEW.ZS,EN.ATM.CO2E.PC,SP.DYN.LE00.IN,SP.POP.TOTL,POP.DENSE,POP.CAT,POP.DENSE.CAT
Croatia,HRV,55964.0,100.0,100.0,31.6,4.06370783264011,78.4243902439025,4065253.0,72.64050103638053,Very Low,Very Low
Cuba,CUB,103800.0,93.6,99.8000030517578,21.54,2.28614606482985,78.802,11333484.0,109.1857803468208,Very Low,Very Low
Cyprus,CYP,9240.0,100.0,100.0,12.05,5.99879528274471,80.982,1198574.0,129.71580086580087,Very Low,Very Low
Czechia,CZE,77205.5,100.0,100.0,15.85,9.02278615795801,79.2292682926829,10671870.0,138.22681026610798,Very Low,Very Low
Denmark,DNK,40000.0,100.0,100.0,37.52,5.10798850907958,81.4512195121951,5814422.0,145.36055,Very Low,Very Low
Djibouti,DJI,23180.0,9.5,61.2119293212891,27.92,0.431407700717039,67.112,973557.0,41.999870578084554,Very Low,Very Low
Dominican Republic,DOM,48310.0,90.9,99.0,13.98,2.53562795178678,74.081,10738957.0,222.29263092527427,Very Low,Low
Ecuador,ECU,248360.0,94.45,99.0899963378906,17.73,2.26146981694915,77.01,17373657.0,69.95352311161217,Very Low,Very Low
"Egypt, Arab Rep.",EGY,995450.0,99.9,100.0,5.3,2.48405991083232,71.99,100388076.0,100.84692952935858,Medium,Very Low
El Salvador,SLV,20720.0,90.75,97.3600006103516,19.39,1.20863713626374,73.317,6453550.0,311.46476833976834,Very Low,Low
Equatorial Guinea,GNQ,28050.0,24.0,66.6000442504883,6.58,3.94548003191235,58.735,1355982.0,48.34160427807487,Very Low,Very Low
Estonia,EST,42750.0,100.0,100.0,31.29,7.67227790917304,78.6463414634147,1326855.0,31.037543859649123,Very Low,Very Low
Eswatini,SWZ,17200.0,53.8,76.8694381713867,65.95,0.836140045223269,60.194,1148133.0,66.75191860465117,Very Low,Very Low
Ethiopia,ETH,1128570.858,7.0,48.063591003418,88.92,0.16381342920099,66.597,112078727.0,99.3103146386578,Medium,Very Low
Fiji,FJI,18270.0,49.4,99.7158813476563,26.48,1.83155327542587,67.444,889955.0,48.71127531472359,Very Low,Very Low
Finland,FIN,303930.0,100.0,100.0,45.76,7.37285476082008,81.9829268292683,5521606.0,18.167360905471654,Very Low,Very Low
France,FRA,547557.0,100.0,100.0,15.53,4.46877008881409,82.8268292682927,67248926.0,122.8163022297222,Low,Very Low
Gabon,GAB,257670.0,87.8,90.7262954711914,89.88,2.41648401116093,66.467,2172578.0,8.431629603756743,Very Low,Very Low
"Gambia, The",GMB,10120.0,1.8,62.0999984741211,49.24,0.247050718368434,62.05,2347696.0,231.98577075098814,Very Low,Low
Georgia,GEO,69490.0,87.7,100.0,25.22,2.71762422558518,73.767,3720161.0,53.53519930925313,Very Low,Very Low
Germany,DEU,349390.0,100.0,100.0,17.17,7.91162101567715,81.2926829268293,83092962.0,237.82295429176565,Medium,Low
Ghana,GHA,227540.0,22.4,83.5,41.8,0.658823540945168,64.074,30417858.0,133.6813659136855,Low,Very Low
Greece,GRC,128900.0,100.0,100.0,18.51,5.59618906985928,81.6390243902439,10721582.0,83.17751745539178,Very Low,Very Low
Grenada,GRD,340.0,89.6,93.120964050293,10.37,2.94637607465065,72.397,112002.0,329.41764705882355,Very Low,Low
Guatemala,GTM,107160.0,48.6,95.7420043945313,62.92,1.16297092439764,74.302,16604026.0,154.94611795446062,Very Low,Very Low
Guinea,GIN,245720.0,1.6,42.2000007629395,65.44,0.30928854143783,61.602,12771246.0,51.97479244668729,Very Low,Very Low
Guinea-Bissau,GNB,28120.0,1.0,30.9615573883057,86.24,0.171792957797251,58.322,1920917.0,68.31141536273115,Very Low,Very Low
Guyana,GUY,196850.0,79.5,91.9157562255859,11.35,3.64089285507658,69.906,782775.0,3.976504953009906,Very Low,Very Low
Haiti,HTI,27560.0,4.4,45.990234375,76.4,0.294768413969466,64.001,11263079.0,408.674854862119,Very Low,Medium
Honduras,HND,111890.0,48.1,91.0999984741211,45.96,1.04862299152317,75.27,9746115.0,87.10443292519439,Very Low,Very Low
Hungary,HUN,91260.0,100.0,100.0,13.64,4.74663102989868,76.3195121951219,9771141.0,107.06926364234056,Very Low,Very Low
Iceland,ISL,100830.0,100.0,100.0,81.07,4.54844225751086,83.1634146341463,360563.0,3.575949618169196,Very Low,Very Low
India,IND,2973190.0,63.9,97.3082656860352,32.93,1.79762011876852,69.656,1366417756.0,459.5796958822006,Very High,Medium
Indonesia,IDN,1877519.0,81.85,98.8499984741211,19.09,2.2903971480842,71.716,270625567.0,144.1399884634989,High,Very Low
"Iran, Islamic Rep.",IRN,1622500.0,96.4,100.0,0.98,7.59836484538996,76.677,82913893.0,51.10255346687211,Medium,Very Low
Iraq,IRQ,434128.0,98.9,99.9920043945313,0.43,4.44062412949085,70.604,39309789.0,90.54884504109387,Low,Very Low
Ireland,IRL,68890.0,100.0,100.0,12.34,7.24514322077522,82.7024390243903,4934340.0,71.62636086514733,Very Low,Very Low
Israel,ISR,21640.0,100.0,100.0,4.47,6.91959371834315,82.8048780487805,9054000.0,418.39186691312386,Very Low,Medium
Italy,ITA,295717.0,100.0,100.0,17.27,5.31131544170879,83.4975609756098,59729081.0,201.9805455891951,Low,Low
Jamaica,JAM,10830.0,83.4,99.3676223754883,9.09,2.84573001224876,74.475,2948277.0,272.2324099722992,Very Low,Low
Japan,JPN,364500.0,100.0,100.0,7.69,8.54098020491546,84.3563414634146,126633000.0,347.4156378600823,Medium,Low
Jordan,JOR,88794.0,99.9,100.0,8.17,2.43820411172168,74.526,10101697.0,113.7655359596369,Very Low,Very Low
Kazakhstan,KAZ,2699700.0,92.8,100.0,1.7,11.4569378323984,73.18,18513673.0,6.857677890135941,Very Low,Very Low
Kenya,KEN,569140.0,17.7,69.6999969482422,68.08,0.423783898343557,66.699,52573967.0,92.37440172892434,Low,Very Low
Kiribati,KIR,810.0,9.1,90.0328521728516,41.03,0.765254094757829,68.369,117608.0,145.19506172839507,Very Low,Very Low
"Korea, Dem. People's Rep.",PRK,120410.0,10.8,49.9720001220703,11.31,2.18341993045969,72.274,25666158.0,213.15636575035296,Low,Low
"Korea, Rep.",KOR,97600.0,100.0,100.0,3.36,11.7993253802233,83.2268292682927,51764822.0,530.3772745901639,Low,Medium
Kuwait,KWT,17820.0,100.0,100.0,0.06,22.0224164011923,75.489,4207077.0,236.08737373737372,Very Low,Low
Kyrgyz Republic,KGZ,191800.0,76.6,99.8742370605469,27.88,1.55664325620875,71.6,6456200.0,33.661105318039624,Very Low,Very Low
Lao PDR,LAO,230800.0,7.7,99.0920867919922,48.43,2.60968183422462,67.923,7169456.0,31.063500866551127,Very Low,Very Low
Latvia,LVA,62227.0,100.0,100.0,41.52,3.95543586167438,75.3878048780488,1913822.0,30.755491989007986,Very Low,Very Low
Lesotho,LSO,30360.0,39.3,44.5002098083496,39.47,0.362307409340339,54.331,2125267.0,70.0022068511199,Very Low,Very Low
Liberia,LBR,96320.0,0.4,23.1000003814697,87.24,0.238993430019259,64.104,4937374.0,51.26011212624585,Very Low,Very Low
Lithuania,LTU,62620.0,100.0,100.0,33.53,4.19807602212644,76.2829268292683,2794137.0,44.62052060044714,Very Low,Very Low
Luxembourg,LUX,2574.46,100.0,100.0,16.45,15.3064265559542,82.6390243902439,620001.0,240.82759102879828,Very Low,Low
Madagascar,MDG,581800.0,0.900000000000001,31.0400009155273,82.77,0.152766255296265,67.041,26969306.0,46.35494327947748,Low,Very Low
Malawi,MWI,94280.0,1.2,11.1999998092651,73.02,0.0778366839170854,64.263,18628749.0,197.5896160373356,Very Low,Low
Malaysia,MYS,328550.0,95.8,100.0,5.11,7.92712603743521,76.156,31949789.0,97.24483031502055,Low,Very Low
Maldives,MDV,300.0,99.0,100.0,1.11,3.97395626217534,78.921,530957.0,1769.8566666666666,Very Low,High
Mali,MLI,1220190.0,0.900000000000001,47.8362770080566,76.64,0.29657101956316,59.306,19658023.0,16.11062457486129,Very Low,Very Low
Malta,MLT,320.0,100.0,100.0,7.7,3.29324560594014,82.8585365853659,504062.0,1575.19375,Very Low,High
Mauritania,MRT,1030700.0,43.0,45.8300323486328,24.7,0.872793555310964,64.925,4525698.0,4.390897448336082,Very Low,Very Low
Mauritius,MUS,2030.0,96.9,100.0,8.94,3.29459100560393,74.2358536585366,1265711.0,623.5029556650246,Very Low,Medium
Mexico,MEX,1943950.0,84.9,99.5999984741211,10.34,3.52160004771504,75.054,127575529.0,65.62696005555698,Medium,Very Low
"Micronesia, Fed. Sts.",FSM,700.0,12.8,81.2767333984375,1.78,1.58156950692426,67.883,113811.0,162.58714285714285,Very Low,Low
Moldova,MDA,32885.9,95.8,100.0,22.04,3.32461016755783,71.901,2664974.0,81.03697937413907,Very Low,Very Low
Mongolia,MNG,1557258.0,50.1,97.2299118041992,3.32,7.15312008585735,69.87,3225166.0,2.0710543789147335,Very Low,Very Low
Montenegro,MNE,13450.0,62.0,100.0,38.74,4.17987599373753,76.6829268292683,622028.0,46.24743494423792,Very Low,Very Low
Morocco,MAR,446300.0,98.0,99.5999984741211,10.69,1.95987228468546,76.68,36471766.0,81.72029128388976,Low,Very Low
Mozambique,MOZ,786380.0,4.8,29.6744499206543,78.08,0.246986411762639,60.854,30366043.0,38.614973676848344,Low,Very Low
Myanmar,MMR,652700.0,28.9,68.358528137207,57.85,0.679428522562061,67.134,54045422.0,82.80285276543589,Low,Very Low
Namibia,NAM,823290.0,46.5,55.1770896911621,30.69,1.69170542764537,63.708,2494524.0,3.0299457056444266,Very Low,Very Low
Nepal,NPL,143350.0,33.6,89.9000015258789,77.39,0.470136453499051,70.778,28608715.0,199.57247994419254,Low,Low
Netherlands,NLD,33670.0,100.0,100.0,8.54,8.43707462722941,82.1121951219512,17344874.0,515.1432729432729,Very Low,Medium
New Zealand,NZL,263310.0,100.0,100.0,29.65,6.83041418732592,81.7073170731707,4979200.0,18.910030002658463,Very Low,Very Low
Nicaragua,NIC,120340.0,55.1,88.0583267211914,50.71,0.80054959429675,74.485,6545503.0,54.39174837959116,Very Low,Very Low
Niger,NER,1266700.0,2.3,18.9745712280273,80.83,0.0922322514104962,62.42,23310719.0,18.402714928554513,Very Low,Very Low
Nigeria,NGA,910770.0,12.9,55.4000015258789,81.4,0.573636206051187,54.687,200963603.0,220.6524182834305,High,Low
